h3_index,total_population,avg_imd_score
89194ad068fffff,5402.359304507477,28.81384757206878
89194ad134bffff,7203.145739343302,14.292051801625586
89194e69843ffff,5402.359304507477,33.74321633454875
89195da5987ffff,5402.359304507477,30.598219801361793
89195da6b1bffff,5402.359304507477,28.073087567326564
