lat,lon,id,name,geometry,index_right,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,LSOA name,10th percentile (£),20th percentile (£),30th percentile (£),40th percentile (£),50th percentile (£),60th percentile (£),70th percentile (£),80th percentile (£),90th percentile (£),Percentage of occupied addresses with income information (%),Population,IMD Score,Station Name,Start Count,End Count,Total Demand,Normalized Demand
51.520893,-0.051394,BikePoints_503,"Cleveland Way, Stepney",POINT (-0.051394 51.520893),4524,E01004208,Tower Hamlets 013C,E02000876,Tower Hamlets 013,E09000030,Tower Hamlets,Tower Hamlets 013C," 5,457 "," 12,863 "," 18,331 "," 22,642 ",27963.0," 33,698 "," 41,195 "," 50,691 "," 66,024 ",86.0,2681.0,25.1,"Cleveland Way, Stepney",19640.0,19412,39052.0,0.30609573525838485
51.496454,-0.009506,BikePoints_504,"St. John's Park, Cubitt Town",POINT (-0.009506 51.496454),4522,E01035705,Tower Hamlets 036D,E02007114,Tower Hamlets 036,E09000030,Tower Hamlets,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,"St. John's Park, Cubitt Town",3680.0,3666,7346.0,0.05757910660678314
51.520398,-0.026768,BikePoints_505,"Ackroyd Drive, Bow",POINT (-0.026768 51.520398),4462,E01004271,Tower Hamlets 014C,E02000877,Tower Hamlets 014,E09000030,Tower Hamlets,Tower Hamlets 014C," 8,288 "," 11,620 "," 15,015 "," 18,255 ",21839.0," 25,380 "," 30,351 "," 39,849 "," 53,798 ",97.3,2297.0,31.0,"Ackroyd Drive, Bow",14017.0,12786,26803.0,0.2100861413533363
51.517475,-0.075855,BikePoints_506,"Bell Lane, Liverpool Street",POINT (-0.075855 51.517475),4385,E01004310,Tower Hamlets 015E,E02000878,Tower Hamlets 015,E09000030,Tower Hamlets,Tower Hamlets 015E," 10,898 "," 13,815 "," 17,039 "," 20,555 ",24617.0," 29,165 "," 34,029 "," 42,980 "," 64,014 ",94.9,2005.0,37.3,"Bell Lane, Liverpool Street",14818.0,14613,29431.0,0.23068481983994482
51.528692,-0.059091,BikePoints_507,"Clarkson Street, Bethnal Green",POINT (-0.059091 51.528692),4514,E01004203,Tower Hamlets 005C,E02000868,Tower Hamlets 005,E09000030,Tower Hamlets,Tower Hamlets 005C," 10,409 "," 14,536 "," 17,515 "," 21,396 ",25956.0," 31,096 "," 37,316 "," 44,115 "," 58,828 ",97.1,1914.0,28.3,"Clarkson Street, Bethnal Green",6622.0,6194,12816.0,0.10045382933195382
51.519362,-0.074431,BikePoints_508,"Fournier Street, Whitechapel",POINT (-0.074431 51.519362),4485,E01004306,Tower Hamlets 015A,E02000878,Tower Hamlets 015,E09000030,Tower Hamlets,Tower Hamlets 015A," 10,490 "," 15,804 "," 19,708 "," 23,424 ",28064.0," 34,236 "," 41,187 "," 51,417 "," 75,504 ",94.7,1591.0,36.7,"Fournier Street, Whitechapel",15380.0,15153,30533.0,0.23932246964673423
51.517842,-0.090075,BikePoints_509,"Fore Street Avenue, Guildhall",POINT (-0.090075 51.517842),996,E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,City of London 001B," 16,455 "," 25,777 "," 36,639 "," 47,657 ",59810.0," 70,516 "," 85,760 "," 107,083 "," 157,318 ",92.3,1678.0,5.1,"Fore Street Avenue, Guildhall",7152.0,9413,16565.0,0.1298390826220205
51.509303,-0.025996,BikePoints_510,"Westferry DLR, Limehouse",POINT (-0.025996 51.509303),4537,E01004277,Tower Hamlets 033A,E02006854,Tower Hamlets 033,E09000030,Tower Hamlets,Tower Hamlets 033A," 18,993 "," 30,137 "," 39,893 "," 51,493 ",64709.0," 78,369 "," 95,985 "," 125,752 "," 189,291 ",94.4,1860.0,7.9,"Westferry DLR, Limehouse",13207.0,14495,27702.0,0.21713264514308556
51.511066,-0.053558,BikePoints_511,"Sutton Street, Shadwell",POINT (-0.053558 51.511066),4389,E01004302,Tower Hamlets 025C,E02000888,Tower Hamlets 025,E09000030,Tower Hamlets,Tower Hamlets 025C," 9,454 "," 11,778 "," 14,348 "," 18,353 ",20299.0," 23,322 "," 28,171 "," 34,854 "," 46,775 ",98.2,2366.0,25.3,"Sutton Street, Shadwell",12705.0,11508,24213.0,0.18978531286006536
51.514222,-0.055656,BikePoints_513,"Watney Market, Stepney",POINT (-0.055656 51.514222),4391,E01004298,Tower Hamlets 022A,E02000885,Tower Hamlets 022,E09000030,Tower Hamlets,Tower Hamlets 022A," 9,899 "," 14,411 "," 17,512 "," 20,911 ",23737.0," 27,174 "," 31,791 "," 37,572 "," 45,859 ",97.8,1753.0,41.3,"Watney Market, Stepney",3483.0,3366,6849.0,0.05368354222023656
