h3_id,station_count,lat,lon
89194ad1003ffff,2,51.4729555,-0.13303700000000002
89194ad100bffff,1,51.473116,-0.137235
89194ad1023ffff,1,51.464995,-0.130908
89194ad104bffff,1,51.47505,-0.150908
89194ad104fffff,1,51.472865,-0.148059
89194ad105bffff,2,51.4777925,-0.148704
89194ad106bffff,1,51.468669,-0.146544
89194ad107bffff,1,51.469259,-0.141812
89194ad1083ffff,1,51.47787,-0.126874
89194ad1087ffff,1,51.476149,-0.123258
89194ad1093ffff,1,51.481747,-0.124642
89194ad10a3ffff,1,51.471433,-0.12367
89194ad10a7ffff,1,51.469202,-0.119022
89194ad10abffff,1,51.470732,-0.126994
89194ad10bbffff,1,51.472509,-0.122831
89194ad10c3ffff,1,51.481335,-0.138212
89194ad10cbffff,1,51.479501,-0.14177
89194ad10d3ffff,1,51.482362,-0.136123
89194ad11c3ffff,1,51.464019,-0.115781
89194ad11c7ffff,1,51.460232,-0.115375
89194ad11d3ffff,1,51.466232,-0.113179
89194ad1207ffff,1,51.470538,-0.163041
89194ad120bffff,1,51.470847,-0.170703
89194ad1213ffff,1,51.474392,-0.163347
89194ad121bffff,2,51.4748575,-0.168685
89194ad1227ffff,1,51.461343,-0.159322
89194ad122fffff,1,51.461923,-0.165297
89194ad1237ffff,1,51.465123,-0.157788
89194ad123bffff,1,51.465064,-0.16375
89194ad1243ffff,1,51.472876,-0.176267
89194ad124bffff,1,51.474665,-0.183165
89194ad1253ffff,1,51.476964,-0.174347
89194ad1263ffff,1,51.464894,-0.173029
89194ad126bffff,1,51.46517,-0.180389
89194ad126fffff,1,51.462305,-0.175407
89194ad1273ffff,1,51.467454,-0.172293
89194ad1277ffff,1,51.466633,-0.169821
89194ad127bffff,1,51.469161,-0.174485
89194ad1287ffff,1,51.474376,-0.155442
89194ad128bffff,1,51.477292,-0.164786
89194ad128fffff,1,51.475153,-0.159169
89194ad12a3ffff,1,51.470475,-0.15213
89194ad12a7ffff,1,51.467185,-0.152248
89194ad12abffff,1,51.46879,-0.15823
89194ad12bbffff,1,51.471095,-0.15785
89194ad12cfffff,1,51.477684,-0.170329
89194ad12dbffff,1,51.482567,-0.172078
89194ad130bffff,1,51.452997,-0.148651
89194ad139bffff,1,51.461388,-0.139221
89194ad13c3ffff,1,51.461376,-0.147804
89194ad140bffff,1,51.491884,-0.125674
89194ad140fffff,2,51.489121,-0.12278249999999999
89194ad1413ffff,2,51.49429,-0.119684
89194ad1417ffff,1,51.490867,-0.116911
89194ad142fffff,1,51.482678,-0.117661
89194ad1433ffff,1,51.486965,-0.116625
89194ad1437ffff,2,51.4839665,-0.1119085
89194ad143bffff,2,51.4872335,-0.1216975
89194ad1443ffff,1,51.494591,-0.134234
89194ad1447ffff,1,51.49206,-0.132224
89194ad144bffff,2,51.493779,-0.138442
89194ad1453ffff,1,51.498125,-0.132102
89194ad1457ffff,3,51.49395533333333,-0.12931233333333333
89194ad145bffff,4,51.49702675,-0.13681225
89194ad1473ffff,1,51.488365,-0.129361
89194ad1477ffff,1,51.485917,-0.124469
89194ad147bffff,1,51.489975,-0.132845
89194ad1487ffff,2,51.494702,-0.11095150000000001
89194ad148bffff,1,51.498241,-0.117495
89194ad148fffff,1,51.495656,-0.114605
89194ad1493ffff,3,51.500240999999995,-0.11222166666666666
89194ad1497ffff,2,51.498068,-0.10889650000000001
89194ad149bffff,1,51.500089,-0.116628
89194ad14abffff,1,51.489479,-0.115156
89194ad14afffff,2,51.4885225,-0.110778
89194ad14b7ffff,2,51.489804500000005,-0.105958
89194ad14bbffff,1,51.49288,-0.114934
89194ad14cbffff,1,51.500703,-0.129698
89194ad14cfffff,2,51.4967225,-0.12677349999999998
89194ad14d3ffff,1,51.501513,-0.123823
89194ad1547ffff,1,51.473874,-0.11258
89194ad154bffff,1,51.47659,-0.118256
89194ad1553ffff,1,51.479601,-0.111471
89194ad155bffff,1,51.477839,-0.116493
89194ad156bffff,1,51.469217,-0.112686
89194ad159bffff,1,51.48224,-0.094284
89194ad1603ffff,1,51.490959,-0.153233
89194ad1613ffff,1,51.494561,-0.153933
89194ad1617ffff,1,51.490491,-0.149186
89194ad161bffff,1,51.49313,-0.156876
89194ad1623ffff,1,51.483507,-0.147714
89194ad1627ffff,1,51.481121,-0.149035
89194ad1633ffff,1,51.485821,-0.149004
89194ad1643ffff,2,51.4933835,-0.1664975
89194ad1647ffff,2,51.490007500000004,-0.1625725
89194ad164fffff,2,51.49019,-0.1683395
89194ad1657ffff,1,51.492462,-0.159919
89194ad166bffff,1,51.484984,-0.167919
89194ad1673ffff,1,51.487964,-0.161765
89194ad167bffff,1,51.488023,-0.166878
89194ad1687ffff,1,51.493204,-0.144132
89194ad168bffff,1,51.496544,-0.150905
89194ad168fffff,2,51.4931595,-0.147551
89194ad1693ffff,1,51.497998,-0.14296
89194ad1697ffff,2,51.4965115,-0.141945
89194ad16a3ffff,2,51.4889565,-0.141332
89194ad16a7ffff,1,51.484839,-0.138089
89194ad16afffff,1,51.485357,-0.142207
89194ad16b3ffff,3,51.491806,-0.13977433333333333
89194ad16b7ffff,1,51.488226,-0.135635
89194ad16cbffff,1,51.498884,-0.165471
89194ad16cfffff,2,51.495765500000005,-0.15965400000000002
89194ad16d3ffff,1,51.501855,-0.159237
89194ad16d7ffff,1,51.499412,-0.152317
89194ad16dbffff,1,51.500241,-0.15934
89194ad204bffff,1,51.499286,-0.009152
89194ad205bffff,1,51.503143,-0.008428
89194ad2203ffff,1,51.497304,-0.022793
89194ad2217ffff,1,51.496137,-0.019355
89194ad2223ffff,1,51.487679,-0.021582
89194ad2233ffff,1,51.49109,-0.018716
89194ad2283ffff,2,51.5025215,-0.0169635
89194ad228bffff,1,51.502661,-0.021596
89194ad228fffff,1,51.499041,-0.020157
89194ad2293ffff,1,51.505772,-0.01646
89194ad229bffff,1,51.5034,-0.020242
89194ad22a3ffff,1,51.49447,-0.014409
89194ad22afffff,1,51.490645,-0.014582
89194ad22b3ffff,1,51.496454,-0.009506
89194ad22b7ffff,1,51.493381,-0.007542
89194ad22d3ffff,1,51.505703,-0.027772
89194ad23c3ffff,1,51.487129,-0.009001
89194ad23dbffff,1,51.489096,-0.009205
89194ad2603ffff,1,51.51549,-0.013475
89194ad2613ffff,1,51.518811,-0.011662
89194ad262bffff,1,51.508896,-0.012413
89194ad2633ffff,1,51.508981,-0.00699
89194ad263bffff,1,51.5112,-0.014438
89194ad2647ffff,1,51.515427,-0.023565
89194ad264bffff,1,51.516196,-0.029138
89194ad2653ffff,1,51.521564,-0.022694
89194ad2657ffff,1,51.519265,-0.021345
89194ad265bffff,1,51.520398,-0.026768
89194ad266bffff,1,51.509303,-0.025996
89194ad266fffff,1,51.50623,-0.02296
89194ad2673ffff,1,51.513757,-0.020467
89194ad267bffff,1,51.511811,-0.025626
89194ad26abffff,1,51.513548,-0.005659
89194ad26afffff,1,51.509474,-0.002275
89194ad26d3ffff,1,51.52512,-0.015578
89194ad3003ffff,2,51.5125,-0.076957
89194ad3007ffff,1,51.509506,-0.075459
89194ad3013ffff,1,51.514449,-0.077178
89194ad3017ffff,1,51.514233,-0.073537
89194ad301bffff,2,51.515189500000005,-0.081541
89194ad302fffff,2,51.501562,-0.0744465
89194ad3037ffff,2,51.505300500000004,-0.069256
89194ad304bffff,1,51.51397,-0.09294
89194ad304fffff,2,51.511399499999996,-0.0929955
89194ad3053ffff,3,51.51799533333334,-0.08834833333333332
89194ad3057ffff,1,51.514441,-0.087587
89194ad305bffff,2,51.5175505,-0.092643
89194ad3063ffff,1,51.506304,-0.087262
89194ad3073ffff,3,51.50980833333333,-0.08431466666666666
89194ad3083ffff,1,51.51793,-0.067937
89194ad3087ffff,1,51.514924,-0.066078
89194ad308bffff,3,51.518405666666666,-0.07457466666666666
89194ad308fffff,1,51.515231,-0.07015
89194ad3093ffff,1,51.521776,-0.068856
89194ad30a7ffff,1,51.508622,-0.065006
89194ad30abffff,1,51.509786,-0.068161
89194ad30afffff,1,51.507131,-0.06691
89194ad30b3ffff,1,51.513074,-0.064094
89194ad30bbffff,1,51.512363,-0.069542
89194ad30c3ffff,2,51.520482,-0.083714
89194ad30c7ffff,1,51.518908,-0.079249
89194ad30cbffff,1,51.520962,-0.085634
89194ad30d3ffff,1,51.521668,-0.079608
89194ad30d7ffff,2,51.5211915,-0.0772235
89194ad30dbffff,2,51.5222395,-0.083836
89194ad310bffff,1,51.4954,-0.061698
89194ad3113ffff,1,51.499169,-0.055846
89194ad312bffff,1,51.488067,-0.057774
89194ad3143ffff,1,51.498585,-0.068981
89194ad3157ffff,1,51.497995,-0.063471
89194ad3173ffff,1,51.492221,-0.062513
89194ad318fffff,1,51.498439,-0.04915
89194ad31d3ffff,1,51.504749,-0.057544
89194ad31dbffff,1,51.504719,-0.063531
89194ad3203ffff,1,51.510981,-0.108322
89194ad3207ffff,2,51.5076385,-0.10653
89194ad320bffff,2,51.512154,-0.114456
89194ad3217ffff,1,51.511891,-0.107349
89194ad321bffff,1,51.51501,-0.112753
89194ad3223ffff,1,51.504044,-0.104778
89194ad3227ffff,1,51.500693,-0.102091
89194ad322bffff,1,51.503791,-0.112824
