LSOA11CD,population,IMD score
E01000334,1666.0,13.0
E01000335,1459.0,31.7
E01000336,2135.0,31.4
E01000337,1786.0,19.6
E01000338,1998.0,18.9
E01000339,1572.0,16.3
E01000340,1482.0,12.8
E01000341,1563.0,8.9
E01000342,1620.0,8.9
E01000343,1565.0,8.3
E01000344,1587.0,6.1
E01000345,1326.0,6.3
E01000346,1641.0,9.7
E01000347,1482.0,11.2
E01000348,1539.0,5.0
E01000349,1638.0,7.5
E01000350,1526.0,7.9
E01000351,1631.0,7.6
E01000352,1722.0,14.8
E01000353,1682.0,5.2
E01000354,1514.0,21.3
E01000355,1583.0,8.2
E01000356,1580.0,7.9
E01000357,1467.0,4.1
E01000358,1702.0,6.2
E01000359,1238.0,6.2
E01000360,1951.0,18.7
E01000361,1621.0,11.3
E01000362,1651.0,12.6
E01000363,1580.0,9.3
E01000364,1687.0,12.7
E01000365,1836.0,14.4
E01000366,1718.0,9.9
E01000367,2196.0,30.9
E01000368,1654.0,33.9
E01000369,1727.0,14.6
E01000370,1605.0,11.4
E01000371,1615.0,8.2
E01000372,1618.0,29.9
E01000373,1433.0,29.3
E01000374,1667.0,42.4
E01000375,2162.0,18.3
E01000376,1624.0,16.2
E01000377,1478.0,12.3
E01000378,3001.0,21.2
E01000379,1816.0,18.6
E01000380,1745.0,23.3
E01000381,1716.0,27.8
E01000382,1541.0,6.4
E01000383,1527.0,21.1
E01000384,1712.0,12.1
E01000385,2009.0,32.3
E01000386,1506.0,41.6
E01000387,1603.0,12.3
E01000388,1535.0,10.8
E01000389,1771.0,11.2
E01000390,1289.0,10.2
E01000391,1745.0,13.9
E01000392,2153.0,22.9
E01000393,1731.0,9.2
E01000394,1663.0,9.3
E01000395,1534.0,5.0
E01000396,1359.0,8.1
E01000398,1633.0,20.0
E01000399,1590.0,9.1
E01000400,1592.0,14.7
E01000401,1803.0,21.1
E01000402,1591.0,23.5
E01000403,2338.0,29.5
E01000404,2532.0,30.1
E01000405,1570.0,28.9
E01000406,2068.0,23.3
E01000407,1698.0,14.6
E01000408,1877.0,23.8
E01000409,1750.0,5.9
E01000410,1665.0,7.5
E01000411,1461.0,9.6
E01000412,1818.0,8.6
E01000413,1367.0,11.0
E01000414,1996.0,13.6
E01000415,1451.0,6.2
E01000416,1748.0,25.3
E01000417,1824.0,19.6
E01000418,2101.0,18.7
E01000419,1362.0,8.7
E01000420,1545.0,11.2
E01000421,1488.0,7.2
E01000422,1536.0,35.9
E01000423,1636.0,5.6
E01000424,1671.0,6.8
E01000425,1738.0,6.5
E01000426,1602.0,10.3
E01000427,2214.0,12.9
E01000428,1866.0,23.9
E01000429,1752.0,42.5
E01000430,2282.0,16.5
E01000431,1417.0,36.1
E01000432,2633.0,24.4
E01000433,2065.0,35.5
E01000434,1776.0,38.2
E01000435,1464.0,31.2
E01000436,1791.0,5.0
E01000437,1342.0,13.7
E01000438,1721.0,14.0
E01000439,1399.0,23.8
E01000440,1417.0,7.7
E01000441,1715.0,29.0
E01000442,1632.0,13.9
E01000443,1322.0,18.2
E01000444,1669.0,6.8
E01000445,1627.0,5.8
E01000446,1585.0,6.2
E01000447,1904.0,10.4
E01000448,1317.0,3.2
E01000449,1452.0,5.4
E01000450,1859.0,18.0
E01000451,1746.0,7.5
E01000452,1430.0,7.5
E01000453,1456.0,8.0
E01000454,1695.0,18.6
E01000455,1779.0,8.2
E01000456,1456.0,6.1
E01000457,2069.0,12.1
E01000458,1442.0,5.6
E01000459,1840.0,14.4
E01000460,1255.0,5.1
E01000461,1553.0,7.1
E01000462,1872.0,14.3
E01000463,1276.0,5.1
E01000464,1633.0,25.5
E01000465,1753.0,28.7
E01000466,1970.0,23.4
E01000467,1987.0,18.6
E01000468,3239.0,20.9
E01000469,1885.0,19.9
E01000470,1364.0,38.3
E01000471,1545.0,21.5
E01000472,924.0,22.9
E01000473,2336.0,25.2
E01000474,2086.0,21.8
E01000475,2033.0,21.1
E01000476,1729.0,19.7
E01000477,2276.0,23.5
E01000478,2194.0,23.7
E01000479,1615.0,15.8
E01000480,1686.0,11.8
E01000481,1537.0,27.7
E01000482,2915.0,33.3
E01000483,1828.0,33.5
E01000484,1492.0,38.6
E01000485,1351.0,29.7
E01000486,1625.0,15.6
E01000487,1974.0,17.6
E01000488,1620.0,24.3
E01000489,1500.0,23.3
E01000490,1817.0,24.2
E01000491,1933.0,21.2
E01000492,1274.0,13.4
E01000493,1526.0,12.3
E01000494,1796.0,19.5
E01000495,1569.0,32.6
E01000497,1701.0,23.7
E01000498,1605.0,32.5
E01000499,1973.0,27.1
E01000501,1873.0,35.7
E01000502,1729.0,28.7
E01000503,2003.0,28.6
E01000504,1755.0,21.4
E01000505,1697.0,20.3
E01000506,1916.0,30.4
E01000507,1696.0,22.0
E01000508,2247.0,37.8
E01000509,1408.0,34.2
E01000510,1770.0,30.1
E01000511,1606.0,31.0
E01000512,1793.0,18.9
E01000513,1545.0,15.5
E01000514,1440.0,14.6
E01000515,1883.0,27.5
E01000516,1919.0,19.4
E01000517,1451.0,13.6
E01000518,1605.0,25.9
E01000519,1936.0,20.4
E01000520,1767.0,20.6
E01000521,2253.0,53.1
E01000522,2008.0,31.4
E01000523,2642.0,31.7
E01000524,2713.0,44.2
E01000525,2034.0,33.6
E01000526,2374.0,42.1
E01000527,2135.0,34.2
E01000528,1580.0,46.0
E01000530,1688.0,15.6
E01000531,1944.0,25.3
E01000532,1499.0,22.1
E01000533,2265.0,38.6
E01000534,1582.0,19.4
E01000535,2116.0,29.6
E01000536,1559.0,11.3
E01000538,1499.0,9.6
E01000539,1565.0,9.4
E01000540,1397.0,10.5
E01000541,1416.0,14.8
E01000543,1469.0,21.4
E01000544,1688.0,33.6
E01000545,1896.0,30.4
E01000546,1671.0,22.3
E01000547,1597.0,22.7
E01000548,2124.0,32.7
E01000549,1789.0,17.1
E01000550,1936.0,34.6
E01000551,2548.0,41.1
E01000552,1522.0,43.4
E01000553,2187.0,29.1
E01000554,2018.0,21.0
E01000555,1609.0,15.9
E01000556,2190.0,32.0
E01000557,1913.0,23.5
E01000558,1556.0,26.8
E01000559,1569.0,22.1
E01000560,1654.0,19.1
E01000561,1793.0,24.7
E01000562,1434.0,10.9
E01000563,1404.0,9.6
E01000564,1664.0,17.3
E01000565,1628.0,23.9
E01000566,1491.0,14.8
E01000567,1276.0,18.2
E01000568,1943.0,14.3
E01000569,1398.0,9.5
E01000570,1637.0,24.1
E01000571,1645.0,22.2
E01000572,1372.0,12.3
E01000573,1606.0,13.4
E01000574,1432.0,10.7
E01000575,1968.0,17.4
E01000576,1698.0,16.5
E01000577,2427.0,32.6
E01000578,2160.0,28.9
E01000579,1508.0,28.9
E01000580,2037.0,20.1
E01000581,1384.0,15.5
E01000582,1690.0,14.3
E01000583,2062.0,21.3
E01000584,1621.0,14.5
E01000585,1674.0,14.2
E01000586,2541.0,21.5
E01000587,1563.0,15.0
E01000588,2524.0,26.1
E01000589,2154.0,19.3
E01000590,1747.0,19.0
E01000591,2148.0,20.6
E01000592,1541.0,20.7
E01000593,2134.0,19.6
E01000594,1750.0,17.1
E01000595,1625.0,45.3
E01000596,1716.0,46.5
E01000599,1246.0,51.4
E01000600,1695.0,36.8
E01000601,1408.0,57.2
E01000602,1486.0,39.8
E01000603,1538.0,39.1
E01000604,1695.0,43.1
E01000605,1602.0,45.5
E01000606,1656.0,19.7
E01000607,2241.0,18.8
E01000608,2406.0,22.1
E01000609,1926.0,21.0
E01000610,2135.0,24.9
E01000611,1630.0,24.0
E01000612,1647.0,23.0
E01000613,1815.0,25.3
E01000615,1067.0,19.8
E01000616,1824.0,21.6
E01000617,1729.0,24.1
E01000618,1425.0,21.8
E01000619,1395.0,19.4
E01000620,1682.0,20.9
E01000621,1752.0,25.2
E01000622,1643.0,30.1
E01000623,1688.0,16.1
E01000624,1767.0,18.7
E01000625,1568.0,22.4
E01000626,1494.0,43.5
E01000627,1990.0,39.2
E01000628,1915.0,33.7
E01000629,2006.0,15.8
E01000630,2746.0,28.7
E01000631,2148.0,16.9
E01000632,2380.0,18.6
E01000633,2358.0,24.5
E01000634,2668.0,21.9
E01000635,3017.0,29.7
E01000636,2234.0,18.2
E01000637,1772.0,23.3
E01000638,2208.0,28.9
E01000639,1987.0,22.1
E01000640,2679.0,27.0
E01000641,2122.0,30.8
E01000642,2520.0,27.3
E01000643,2341.0,51.1
E01000644,2078.0,25.0
E01000645,1477.0,4.4
E01000646,1813.0,8.7
E01000647,1685.0,6.9
E01000648,1810.0,6.4
E01000649,2003.0,9.1
E01000650,1963.0,11.7
E01000651,1665.0,9.8
E01000652,1585.0,6.3
E01000653,1591.0,9.8
E01000654,1227.0,7.9
E01000655,1250.0,10.1
E01000656,1482.0,6.8
E01000657,1545.0,12.2
E01000658,1209.0,6.9
E01000659,1464.0,7.7
E01000661,1269.0,37.6
E01000662,1872.0,18.2
E01000663,1666.0,17.6
E01000664,1664.0,19.0
E01000665,1902.0,11.3
E01000666,1853.0,5.6
E01000667,1598.0,6.9
E01000668,2109.0,11.5
E01000669,1681.0,8.8
E01000670,2174.0,5.9
E01000671,2340.0,10.6
E01000672,1737.0,7.6
E01000673,1606.0,8.3
E01000674,1815.0,12.2
E01000675,2466.0,10.2
E01000676,2229.0,20.8
E01000677,1962.0,13.3
E01000678,1943.0,8.9
E01000679,1775.0,8.8
E01000680,1640.0,9.2
E01000681,1812.0,2.7
E01000682,1588.0,4.3
E01000683,1619.0,12.3
E01000684,2175.0,3.5
E01000685,1565.0,12.6
E01000686,1540.0,7.3
E01000687,1632.0,6.5
E01000688,1393.0,2.6
E01000689,1461.0,21.8
E01000690,1405.0,7.2
E01000691,1640.0,13.1
E01000692,1604.0,6.7
E01000693,1656.0,11.7
E01000694,2226.0,7.8
E01000695,1638.0,7.6
E01000696,1529.0,7.3
E01000697,1758.0,3.5
E01000698,1112.0,14.0
E01000699,1583.0,20.1
E01000700,1606.0,13.7
E01000701,1412.0,12.8
E01000702,1495.0,10.1
E01000703,1757.0,10.5
E01000704,1422.0,10.3
E01000705,1374.0,16.3
E01000706,1390.0,16.6
E01000707,1564.0,3.3
E01000708,1722.0,7.9
E01000709,1389.0,16.2
E01000710,2260.0,10.3
E01000711,2084.0,11.8
E01000712,1864.0,7.0
E01000713,1879.0,8.1
E01000714,2355.0,10.0
E01000715,1766.0,6.6
E01000716,1643.0,7.5
E01000717,1757.0,8.4
E01000718,2251.0,27.3
E01000719,2148.0,25.4
E01000720,1837.0,43.3
E01000721,1557.0,43.2
E01000722,1824.0,23.6
E01000723,1191.0,13.7
E01000724,1954.0,36.1
E01000725,1825.0,27.9
E01000726,1270.0,16.2
E01000727,1703.0,14.5
E01000728,1612.0,21.4
E01000729,2065.0,40.9
E01000730,1833.0,41.8
E01000731,1502.0,29.7
E01000732,1444.0,14.4
E01000733,1672.0,20.0
E01000734,1411.0,12.0
E01000735,1544.0,30.1
E01000736,1669.0,21.9
E01000737,1374.0,32.2
E01000738,1654.0,20.2
E01000739,1689.0,42.4
E01000740,2443.0,25.7
E01000741,1900.0,24.9
E01000742,2369.0,23.3
E01000743,1947.0,34.8
E01000744,1599.0,41.7
E01000745,2092.0,19.5
E01000746,2173.0,17.5
E01000747,2055.0,20.2
E01000748,1562.0,12.7
E01000749,1681.0,11.3
E01000750,1440.0,30.7
E01000751,2190.0,6.7
E01000752,1732.0,8.4
E01000753,1904.0,6.1
E01000754,1737.0,7.4
E01000755,1533.0,5.1
E01000756,1640.0,4.9
E01000757,1564.0,4.5
E01000758,1463.0,3.3
E01000759,1579.0,7.8
E01000760,1539.0,9.1
E01000761,1551.0,7.3
E01000762,1699.0,7.0
E01000763,1424.0,5.4
E01000764,1752.0,12.2
E01000765,1813.0,7.2
E01000766,1800.0,3.0
E01000767,1563.0,4.8
E01000768,1496.0,8.7
E01000769,1445.0,23.9
E01000770,1499.0,6.0
E01000771,1808.0,5.5
E01000772,1593.0,4.1
E01000773,1621.0,6.5
E01000774,1485.0,9.4
E01000775,2342.0,7.3
E01000777,1595.0,7.7
E01000778,1610.0,13.2
E01000779,1296.0,15.1
E01000780,1575.0,22.7
E01000781,1561.0,37.3
E01000782,1611.0,47.7
E01000783,1819.0,31.4
E01000784,1624.0,10.2
E01000785,1604.0,31.6
E01000786,1477.0,9.5
E01000787,1471.0,22.4
E01000788,1554.0,23.0
E01000789,2030.0,36.6
E01000790,2493.0,13.6
E01000791,1444.0,9.7
E01000792,1480.0,18.9
E01000793,1419.0,4.8
E01000794,1557.0,3.7
E01000795,1391.0,14.3
E01000796,1660.0,30.1
E01000797,1691.0,13.5
E01000798,1557.0,42.1
E01000799,1878.0,19.4
E01000800,1866.0,28.1
E01000801,1647.0,18.2
E01000802,1798.0,19.8
E01000803,1712.0,17.2
E01000804,1555.0,8.3
E01000805,1813.0,21.8
E01000806,1987.0,25.7
E01000807,1645.0,6.0
E01000808,1589.0,7.0
E01000809,1506.0,4.2
E01000810,1506.0,2.3
E01000811,1354.0,5.1
E01000812,1575.0,10.2
E01000813,1650.0,3.3
E01000814,1417.0,4.3
E01000815,1532.0,2.6
E01000816,1531.0,14.1
E01000818,1626.0,13.5
E01000819,1750.0,26.5
E01000820,1666.0,21.1
E01000822,1740.0,13.3
E01000823,1752.0,11.6
E01000824,1367.0,15.4
E01000825,1754.0,17.0
E01000826,1595.0,4.3
E01000827,1994.0,5.2
E01000828,1784.0,10.1
E01000829,1890.0,6.1
E01000830,1543.0,3.7
E01000831,1768.0,8.2
E01000832,1462.0,6.0
E01000833,1399.0,2.8
E01000834,1334.0,4.9
E01000835,1726.0,7.3
E01000836,1405.0,5.6
E01000837,1539.0,10.2
E01000838,1439.0,5.0
E01000839,1397.0,4.3
E01000840,1465.0,10.4
E01000841,1680.0,4.5
E01000842,1868.0,8.5
E01000843,1990.0,13.6
E01000844,2169.0,9.8
E01000845,1938.0,11.3
E01000846,1729.0,22.1
E01000847,2034.0,17.1
E01000848,2200.0,6.0
E01000849,1967.0,7.7
E01000850,1115.0,14.3
E01000851,2659.0,15.0
E01000852,2151.0,14.6
E01000853,1786.0,30.8
E01000854,2112.0,15.8
E01000855,1757.0,14.7
E01000856,1970.0,31.4
E01000857,1704.0,14.9
E01000858,2185.0,37.7
E01000859,1900.0,7.2
E01000860,1511.0,17.7
E01000861,1707.0,33.5
E01000862,1993.0,10.9
E01000863,2003.0,34.4
E01000864,1935.0,17.9
E01000865,1974.0,13.2
E01000866,1751.0,22.4
E01000867,2120.0,28.4
E01000868,1957.0,39.3
E01000869,2459.0,22.1
E01000870,1938.0,26.8
E01000871,2168.0,14.2
E01000872,2333.0,24.3
E01000873,2004.0,8.6
E01000874,2004.0,4.9
E01000875,1981.0,21.8
E01000876,2337.0,29.9
E01000877,2000.0,11.2
E01000878,2696.0,5.6
E01000879,1773.0,5.9
E01000880,2085.0,6.1
E01000881,2242.0,13.4
E01000882,2078.0,4.3
E01000883,1999.0,9.5
E01000884,1942.0,5.3
E01000885,1848.0,7.0
E01000886,1800.0,9.1
E01000887,1793.0,13.1
E01000888,1884.0,14.6
E01000889,2216.0,30.9
E01000890,1790.0,40.9
E01000891,1770.0,38.3
E01000892,2409.0,15.8
E01000893,1862.0,5.3
E01000894,1751.0,6.6
E01000895,2077.0,8.4
E01000896,2116.0,5.7
E01000897,2049.0,5.4
E01000898,2378.0,11.8
E01000899,2177.0,6.0
E01000900,2125.0,26.0
E01000901,2837.0,30.4
E01000902,1716.0,36.2
E01000903,1797.0,18.9
E01000904,2807.0,24.6
E01000905,2285.0,38.1
E01000906,1759.0,10.4
E01000907,1698.0,33.8
E01000908,1990.0,27.2
E01000909,1898.0,11.8
E01000910,1790.0,9.7
E01000911,1808.0,17.0
E01000912,1930.0,22.3
E01000913,1963.0,9.3
E01000914,2512.0,13.1
E01000915,1766.0,23.1
E01000916,2638.0,19.5
E01000917,2388.0,35.0
E01000918,2520.0,20.7
E01000919,2261.0,21.7
E01000920,2389.0,15.0
E01000921,2449.0,15.2
E01000922,2073.0,21.7
E01000923,1710.0,19.4
E01000924,2073.0,13.3
E01000925,1717.0,29.4
E01000926,2099.0,17.4
E01000927,2128.0,14.9
E01000928,2113.0,20.3
E01000929,2363.0,25.4
E01000930,2488.0,30.8
E01000931,2494.0,34.6
E01000932,2118.0,20.0
E01000933,2251.0,25.7
E01000934,1886.0,35.4
E01000935,1569.0,32.3
E01000936,2089.0,21.5
E01000937,761.0,14.3
E01000938,2174.0,33.7
E01000939,1629.0,39.1
E01000940,1627.0,19.7
E01000941,1368.0,38.0
E01000942,1418.0,15.3
E01000943,1246.0,19.8
E01000944,2284.0,22.7
E01000945,1883.0,29.5
E01000946,2339.0,14.8
E01000947,2358.0,24.7
E01000948,2053.0,28.9
E01000949,1961.0,19.6
E01000950,1312.0,39.7
E01000951,1926.0,34.2
E01000952,1937.0,33.4
E01000953,1472.0,37.2
E01000954,1990.0,34.9
E01000955,1885.0,33.2
E01000956,2143.0,33.6
E01000957,1743.0,26.3
E01000958,3952.0,24.5
E01000959,1906.0,39.0
E01000960,2332.0,16.5
E01000961,2147.0,22.6
E01000962,2007.0,6.1
E01000963,3038.0,8.8
E01000964,1954.0,17.9
E01000965,2093.0,17.4
E01000966,1876.0,7.0
E01000967,1890.0,9.3
E01000968,1857.0,14.3
E01000969,2507.0,6.3
E01000970,1933.0,10.3
E01000971,1808.0,7.9
E01000972,2533.0,27.1
E01000973,3374.0,20.6
E01000974,2144.0,25.1
E01000975,2124.0,17.7
E01000976,2064.0,25.8
E01000977,1898.0,28.3
E01000978,1835.0,20.6
E01000979,1795.0,17.6
E01000980,1272.0,26.5
E01000981,1761.0,14.0
E01000982,1626.0,18.6
E01000983,1736.0,13.5
E01000984,1981.0,30.6
E01000985,1430.0,8.7
E01000986,1718.0,13.0
E01000987,1344.0,9.4
E01000989,1694.0,12.4
E01000990,1434.0,40.3
E01000991,1660.0,8.8
E01000992,1934.0,32.2
E01000993,1716.0,12.2
E01000994,1529.0,19.8
E01000995,1714.0,20.6
E01000996,1189.0,19.9
E01000997,1395.0,22.3
E01000998,1601.0,32.6
E01000999,1323.0,22.8
E01001000,1529.0,28.2
E01001001,1329.0,37.5
E01001002,1419.0,22.2
E01001003,1664.0,25.0
E01001004,2219.0,26.9
E01001005,1699.0,23.2
E01001006,1644.0,30.7
E01001007,2024.0,18.9
E01001008,1683.0,30.4
E01001009,2019.0,23.7
E01001010,1705.0,41.8
E01001011,2365.0,30.9
E01001012,2105.0,37.5
E01001013,2159.0,46.1
E01001014,2436.0,30.3
