name,lsoa21cd,Total: All usual residents aged 16 years and over in employment the week before the census,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Works mainly from home,"Works mainly at an offshore installation, in no fixed place, or outside the UK"
Wandsworth 020D,E01004594,977,54,69,99,73,5,3,1,3,601,69
Wandsworth 020E,E01004596,926,50,63,91,53,6,5,0,4,598,56
Wandsworth 020F,E01004629,812,40,69,78,46,3,4,7,2,498,65
Wandsworth 021A,E01004472,1169,34,80,133,29,4,0,1,4,835,49
Wandsworth 021B,E01004474,1486,57,96,214,61,4,0,1,2,984,67
Wandsworth 021C,E01004476,1247,43,89,158,52,4,3,1,2,834,61
Wandsworth 021D,E01004542,941,32,46,123,31,10,1,5,7,648,38
Wandsworth 021E,E01004544,884,36,54,123,30,5,1,0,0,603,32
Wandsworth 022A,E01004628,1186,98,137,152,70,7,3,6,9,572,132
Wandsworth 022B,E01004630,787,98,121,131,68,5,4,5,6,186,163
Wandsworth 022C,E01004631,998,61,129,157,105,12,5,0,3,391,135
Wandsworth 022D,E01004633,733,78,128,121,57,6,4,4,6,191,138
Wandsworth 023A,E01004569,936,50,142,129,95,10,2,1,12,325,170
Wandsworth 023B,E01004570,832,69,152,159,76,10,2,4,6,175,179
Wandsworth 023C,E01004571,884,63,149,179,63,9,5,3,4,231,178
Wandsworth 023D,E01004573,877,57,151,133,78,7,3,4,10,262,172
Wandsworth 024A,E01004495,817,69,98,111,61,7,0,0,6,361,104
Wandsworth 024B,E01004496,1375,41,91,185,60,4,10,5,6,914,59
Wandsworth 024C,E01004497,771,47,58,88,34,4,2,2,3,480,53
Wandsworth 024D,E01004622,749,90,63,87,22,3,4,2,8,345,125
Wandsworth 024E,E01004624,920,71,79,113,31,8,1,1,4,535,77
Wandsworth 025A,E01004593,1173,91,121,154,46,9,1,1,6,666,78
Wandsworth 025B,E01004595,1153,49,90,120,64,5,5,0,5,738,77
Wandsworth 025C,E01004597,1045,63,86,104,55,5,1,3,4,645,79
Wandsworth 025D,E01004598,1458,37,82,153,80,3,1,2,5,1001,94
Wandsworth 025E,E01004599,838,29,47,85,45,6,4,0,0,594,28
Wandsworth 026A,E01004473,1165,37,63,157,37,4,2,4,1,804,56
Wandsworth 026B,E01004475,939,22,58,130,23,6,1,2,4,635,58
Wandsworth 026C,E01004480,1226,31,52,180,28,5,3,2,9,866,50
Wandsworth 026D,E01004483,1416,89,88,163,114,11,7,3,3,849,89
Wandsworth 026E,E01004484,1007,26,62,130,49,5,5,3,2,664,61
Wandsworth 026F,E01004486,988,32,52,120,47,4,3,5,4,647,74
Wandsworth 027A,E01004543,1089,41,48,159,47,3,1,3,6,728,53
Wandsworth 027B,E01004545,1533,26,91,219,56,12,7,2,6,1033,81
Wandsworth 027C,E01004546,978,33,40,128,37,2,3,0,4,691,40
Wandsworth 027D,E01004549,947,50,39,118,51,5,0,3,2,612,67
Wandsworth 027E,E01004625,624,35,44,58,24,5,0,2,0,418,38
Wandsworth 027F,E01004626,1077,55,59,153,47,5,1,3,3,688,63
Wandsworth 028A,E01004632,843,40,109,132,88,2,4,0,2,363,103
Wandsworth 028B,E01004634,787,39,87,105,59,6,1,1,0,405,84
Wandsworth 028C,E01004635,876,64,103,126,62,8,1,4,1,396,111
Wandsworth 028D,E01004636,753,29,93,97,50,4,3,0,6,366,105
Wandsworth 028E,E01004637,790,55,94,122,57,8,2,2,2,329,119
Wandsworth 029A,E01004481,1157,51,75,166,60,7,0,2,3,702,91
Wandsworth 029B,E01004488,749,31,41,102,25,7,1,1,1,495,45
Wandsworth 029C,E01004547,789,34,59,125,31,1,2,1,3,462,71
Wandsworth 029D,E01004548,1320,85,73,188,63,8,1,2,6,788,106
Wandsworth 030A,E01004482,992,68,51,116,68,2,3,1,0,601,82
Wandsworth 030B,E01004485,1113,54,71,142,44,6,4,1,3,720,68
Wandsworth 030C,E01004487,947,40,72,132,47,4,1,2,4,579,66
Wandsworth 030D,E01004489,743,37,46,83,48,2,1,2,2,466,56
Wandsworth 031A,E01004490,979,43,60,103,51,5,2,1,3,660,51
Wandsworth 031B,E01004491,1460,454,101,172,89,12,3,4,13,497,115
Wandsworth 031C,E01004492,1038,68,82,113,75,8,3,1,5,596,87
Wandsworth 031D,E01004498,1144,25,61,119,70,8,1,0,2,803,55
Wandsworth 032A,E01004532,841,50,53,99,55,3,2,3,2,519,55
Wandsworth 032B,E01004611,884,58,56,93,61,8,4,4,2,532,66
Wandsworth 032C,E01004612,855,67,78,138,62,4,4,3,6,379,114
Wandsworth 032D,E01004618,895,49,46,90,55,7,2,1,5,588,52
Wandsworth 033A,E01004531,924,83,73,93,60,4,2,1,6,513,89
Wandsworth 033B,E01004533,811,86,55,85,65,4,1,1,3,436,75
Wandsworth 033C,E01004610,1205,120,88,163,106,6,2,2,5,606,107
Wandsworth 033D,E01004613,837,89,72,114,63,7,5,0,9,381,97
Wandsworth 034A,E01004614,1205,114,92,174,128,10,4,2,3,568,110
Wandsworth 034B,E01004615,729,94,82,91,67,9,3,2,2,278,101
Wandsworth 034C,E01004616,1244,122,75,181,114,9,6,3,6,588,140
Wandsworth 034D,E01004617,1035,115,80,139,98,10,1,1,2,484,105
Wandsworth 035A,E01004525,1133,107,88,158,104,8,2,1,1,542,122
Wandsworth 035B,E01004526,1047,92,57,119,78,12,3,5,1,548,132
Wandsworth 035C,E01004527,928,90,64,92,78,10,5,3,3,486,97
Wandsworth 035D,E01004528,806,87,71,108,64,8,2,1,3,346,116
Wandsworth 035E,E01004529,1343,117,90,121,142,9,6,6,5,705,142
Wandsworth 035F,E01004530,1069,74,61,113,106,3,3,3,2,581,123
Wandsworth 036A,E01004516,776,59,77,74,44,6,0,2,18,401,95
Wandsworth 036B,E01004518,912,41,103,92,74,5,0,3,7,493,94
Wandsworth 036C,E01004519,892,95,94,92,75,9,2,0,2,398,125
Wandsworth 036D,E01004520,675,70,69,73,61,9,3,0,4,306,80
Wandsworth 036E,E01004523,823,36,101,93,54,0,2,5,5,430,97
Wandsworth 037A,E01004517,1326,58,124,176,153,9,2,0,10,596,198
Wandsworth 037B,E01004521,1085,41,109,135,124,7,0,4,6,520,139
Wandsworth 037C,E01004522,942,45,94,104,101,5,5,2,11,397,178
Wandsworth 037D,E01004524,799,46,115,122,79,8,2,11,12,252,152
Wandsworth 038C,E01033098,1160,46,128,78,20,13,5,0,9,805,56
Wandsworth 038D,E01033132,1349,62,171,122,29,5,3,1,5,859,92
Wandsworth 038A,E01035496,719,39,102,45,15,2,2,4,3,462,45
Wandsworth 038B,E01035497,819,34,124,125,18,3,1,6,1,430,77
Wandsworth 038E,E01035498,844,30,117,66,9,4,1,3,2,575,37
Wandsworth 039E,E01004563,1129,98,249,126,48,9,1,3,5,410,180
Wandsworth 039D,E01004564,1232,63,176,149,39,4,3,7,3,708,80
Wandsworth 039A,E01004567,1153,77,304,148,43,10,5,4,10,404,148
Wandsworth 039B,E01033100,1161,75,202,106,37,8,4,4,14,602,109
Wandsworth 039C,E01035499,727,42,152,114,42,9,3,2,3,240,120
